Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Идеальная работа. Программирование без прикрас;Мартин Роберт С.;Питер:Библиотека программиста;1 247;1 599;–22 %
Криптографические основы блокчейн-технологий;Ищукова;ДМК-Пресс:;1 075;2 388;–55 %
Web-программирование на Python. СПО;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;1 681;3 735;–55 %
Go. Идиомы и паттерны проектирования;Боднер Джон;Питер:Бестселлеры O`Reilly;2 588;3 318;–22 %
Python. Чистый код для продолжающих;Свейгарт Эл;Питер:Библиотека программиста;2 075;2 660;–22 %
Как проектировать программы;Фелляйзен;ДМК-Пресс:;2 587;5 749;–55 %
Введение в программирование и структуры данных;Фислер;ДМК-Пресс:;1 940;4 312;–55 %
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО;Заяц;Лань:Компьютеры и программное обеспечение;1 006;2 235;–55 %
Программирование в САПР. Учебное пособие;Лянг Виктор Федорович;ИНФРА-М:Высшее образование. Бакалавриат;2 496;5 547;–55 %
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие;Васильев;Лань:Учебники для вузов. Специальная литература;1 758;3 907;–55 %
SQL. Быстрое погружение;Шилдс Уолтер;Питер:Библиотека программиста;1 164;1 492;–22 %
Spring Boot по-быстрому;Хеклер Марк;Питер:Бестселлеры O`Reilly;2 197;2 817;–22 %
Параллельное программирование на современном С++;Гримм Райнер;ДМК-Пресс:;2 587;5 749;–55 %
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI;Стейпл Дэнни;ДМК-Пресс:;1 509;3 354;–55 %
Практический хакинг интернета вещей;Чанцис;ДМК-Пресс:;2 329;5 176;–55 %
Spring в действии;Уоллс Крейг;ДМК-Пресс:;2 587;5 749;–55 %
Практическое введение в решение дифференциальных уравнений в Python;Ершов Николай Михайлович;ДМК-Пресс:;1 161;2 580;–55 %
Open Source. Разработка программ с открытым исходным кодом;Эгбал Надья;Питер:Библиотека программиста;2 204;2 826;–22 %
Теоретический минимум по Computer Science. Сети, криптография и data science;Феррейра;Питер:Библиотека программиста;1 158;1 484;–22 %
Программирование в Roblox. Сделать игру - проще простого;Брамбо Зандер;ДМК-Пресс:;1 161;2 580;–55 %
Алгоритмы. Самый краткий и понятный курс;Луридас Панос;Бомбора:Библиотека MIT;620;849;–27 %
Масштабируемый рефакторинг. Возвращаем контроль над кодом;Лемер Мод;Питер:Бестселлеры O`Reilly;1 496;1 918;–22 %
Многопоточный JavaScript;Хантер;ДМК-Пресс:;1 393;3 095;–55 %
JavaScript. Визуальные редакторы. Учебное пособие для СПО;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;1 257;2 794;–55 %
JavaScript. Визуальные редакторы. Учебное пособие для вузов;Янцев Валерий Викторович;Лань:Компьютеры и программное обеспечение;1 257;2 794;–55 %
Языки программирования и методы трансляции. Учебное пособие для вузов;Свердлов Сергей Залманович;Лань:Компьютеры и программное обеспечение;2 042;4 537;–55 %
Алгоритмы Data Science и их практическая реализация на Python;Протодьяконов;Инфра-Инженерия:;1 429;3 176;–55 %
Графический анализ на языке R. Учебно-методическое пособие;Лукьянов Павел Борисович;Прометей:;525;1 167;–55 %
Head First. Изучаем C#;Стиллмен;Питер:Head First (O'Reilly);2 666;3 418;–22 %
Основы алгоритмизации и программирования на Visual C++. Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М:Высшее образование. Бакалавриат;2 322;5 159;–55 %
Дисциплина программирования. Матем.обеспечение ЭВМ;Дейкстра Э.;RUGRAM:ЁЁ Медиа;2 246;2 880;–22 %
Программирование на языке Си. Учебное пособие для вузов;Рацеев Сергей Михайлович;Лань:Компьютеры и программное обеспечение;1 801;4 003;–55 %
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения;Матросов;ДМК-Пресс:;2 090;4 644;–55 %
Профессиональный бенчмарк. Искусство измерения производительности;Акиньшин Андрей;Питер:Библиотека программиста;2 600;3 333;–22 %
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования;Троелсен;Диалектика:;4 968;11 040;–55 %
Этичный хакинг. Практическое руководство по взлому;Грэм Дэниел Г.;Питер:Библиотека программиста;2 069;2 652;–22 %
